size,density,bfs_cost,bfs_time,ucs_cost,ucs_time,greedy_cost,greedy_time,astar_cost,astar_time,mcts_cost,mcts_time,best_algorithm
10,0.24874334255351951,81,5.91278076171875e-05,58,7.510185241699219e-05,93,2.3126602172851562e-05,58,6.198883056640625e-05,1337,0.21058297157287598,astar
20,0.20871743865977524,179,0.000225067138671875,130,0.0003750324249267578,206,6.818771362304688e-05,130,0.00037097930908203125,18489,1.7206296920776367,astar
20,0.29912210723313937,170,0.00022912025451660156,134,0.0003418922424316406,250,6.794929504394531e-05,134,0.00032901763916015625,38606,2.019826889038086,astar
20,0.2823232239704302,177,0.00021719932556152344,152,0.0003237724304199219,199,5.984306335449219e-05,152,0.0003230571746826172,86858,2.415843963623047,astar
10,0.33062474799812275,81,4.00543212890625e-05,81,5.2928924560546875e-05,100,2.3126602172851562e-05,81,5.507469177246094e-05,2323,0.18629932403564453,bfs
10,0.3479679537539847,91,5.888938903808594e-05,46,8.416175842285156e-05,61,2.3126602172851562e-05,46,8.392333984375e-05,3090,0.1812448501586914,astar
20,0.29177078020462566,146,0.00020813941955566406,137,0.00027298927307128906,185,4.601478576660156e-05,137,0.00025391578674316406,11965,1.938248872756958,astar
10,0.2589226924218053,84,5.817413330078125e-05,62,8.487701416015625e-05,79,3.0994415283203125e-05,62,7.700920104980469e-05,232,0.3392961025238037,astar
20,0.21274754681106392,182,0.00024509429931640625,146,0.0003859996795654297,214,5.1975250244140625e-05,146,0.00042510032653808594,3551,1.3832566738128662,ucs
10,0.2867416075320257,100,6.198883056640625e-05,73,8.273124694824219e-05,86,2.288818359375e-05,73,8.678436279296875e-05,5889,0.18132495880126953,ucs
20,0.23151807230903337,179,0.0002448558807373047,153,0.00038909912109375,257,6.604194641113281e-05,153,0.00041985511779785156,2559,1.6771421432495117,ucs
20,0.24026534808133565,171,0.00023698806762695312,131,0.0003399848937988281,214,5.888938903808594e-05,131,0.0003497600555419922,16095,0.9816849231719971,ucs
10,0.23145178952823633,85,6.198883056640625e-05,70,9.298324584960938e-05,82,2.288818359375e-05,70,9.512901306152344e-05,1665,0.2592017650604248,ucs
20,0.22006760207001685,161,0.00025200843811035156,127,0.00037407875061035156,179,5.698204040527344e-05,127,0.0003371238708496094,31429,1.0658838748931885,astar
20,0.35685033893847956,156,0.0001678466796875,104,0.0002529621124267578,202,5.507469177246094e-05,104,0.00025725364685058594,46842,1.9495830535888672,ucs
20,0.20188572812334082,208,0.0002491474151611328,127,0.0003809928894042969,268,7.295608520507812e-05,127,0.0003917217254638672,13199,1.446138858795166,ucs
10,0.24446898003839576,104,5.602836608886719e-05,94,9.489059448242188e-05,96,2.09808349609375e-05,94,8.392333984375e-05,3464,0.370358943939209,astar
10,0.26415079294276,101,4.601478576660156e-05,54,5.3882598876953125e-05,67,2.09808349609375e-05,54,5.1975250244140625e-05,1049,0.16318678855895996,astar
